"article_id","title","initials","access_article","access_supp","design","design_ev","design_judg_4_TEXT","design_judg_rat","comments"
"Mason2018bank12-8","Associations between fast food and physical activity environments and adiposity in mid-life: cross-sectional, observational evidence from UK Biobank","kd","Yes","Yes","cross-sectional","""We used cross-sectional observational data from UK Biobank.""",NA,NA,NA
"McCor2014tion.018","The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population","mg","Yes","Not present","cross-sectional",NA,NA,"we calculated the prevalence of tinnitus and that which is perceived as bothersome, and examined the association between tinnitus and a putative predisposing personality factor, neuroticism.",NA
"McCor2014tion.018","The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population","kd","Yes","Not present","cross-sectional,cross-sectional",NA,NA,"""examined the association between tinnitus and ... neuroticism"" at one time point",NA
"McCor2014tion4711","Association of Dietary Factors with Presence and Severity of Tinnitus in a Middle-Aged UK Population","kd","Yes","Yes","cross-sectional","""However, as a cross-sectional study, this work can only suggest associations of diet with tinnitus reporting and generate hypotheses""",NA,NA,NA
"McCor2014tion4711","Association of dietary factors with presence and severity of tinnitus in a middle-aged UK population","mg","Yes","Yes","cross-sectional","This study used the UK Biobank resource, a large cross-sectional study of adults aged 40–69.",NA,NA,NA
"McCor2015tion4577","Investigating the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a large middle-aged UK population","kd","Yes","Not present","cross-sectional","""This study aimed to examine the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a cross-sectional sample of UK adults aged 40 to 69 years.""",NA,NA,NA
"McCor2015tion4577","Investigating the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a large middle-aged UK population","mg","Yes","Not present","cross-sectional",NA,NA,"This study aimed to examine the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a cross-sectional sample of UK adults aged 40 to 69 years.",NA
"McMen2018bank1375","Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank","mg","Yes","Not present","cohort","Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank",NA,NA,NA
"McMen2018bank1375","Hormonal and reproductive factors and risk of upper gastrointestinal cancers in men: A prospective cohort study within the UK Biobank","kd","Yes","Not present","case-control",NA,NA,"Investigated associations between hormonal and reproductive factors and risk of oesophageal and gastric cancer over time",NA
"Mille2018ioma59-y","Handedness and the risk of glioma","mg","Yes","Yes","cohort,case-control","In this study, we examined the relationship between handedness and glioma risk in a large case–control study (1849 glioma cases and 1354 healthy controls) and a prospective cohort study (326,475 subjects with 375 incident gliomas).",NA,NA,NA
"Mille2018ioma59-y","Handedness and the risk of glioma","kd","Yes","Yes","cohort","""Subjects included in the cohort analysis were selected from...the UKBiobank""",NA,NA,NA
"Moore2014 age7720","Relation between Speech-in-Noise Threshold, Hearing Loss and Cognition from 40–69 Years of Age","kd","Yes","Yes","cross-sectional",NA,NA,"""In this study we investigated the relation between DTT SRT and cognitive ability as a function of age, sex, socioeconomic status, and noise exposure. "" Some exposures were historical but did not sample based on outcome",NA
"Moore2014 age7720","Relation between speech-in-noise threshold, hearing loss and cognition from 40-69 years of age","mg","Yes","Yes","cross-sectional",NA,NA,"no evidence of follow up and no evidence of participant selection based on the presence of an exposure",NA
"Morri2018bank.496","Physical activity, sedentary behaviour and colorectal cancer risk in the UK Biobank","mg","Yes","Yes","cohort",NA,NA,"After a median follow-up time of 5.6 years, 2391 incident colorectal cancer cases were recorded.",NA
"Morri2018bank.496","Physical activity, sedentary behaviour and colorectal cancer risk in the UK Biobank","kd","Yes","Yes","cohort",NA,NA,"Sampled everyone without prior diagnosis of cancer and found ""In this prospective analysis of UK Biobank participants, total physical activity levels were inversely associated"" with risk of developing colon cancer at follow up",NA
"Mulle2017tudy2467","Lung Cancer Risk Prediction Model Incorporating Lung Function: Development and Validation in the UK Biobank Prospective Cohort Study","kd","Yes","Not present","other",NA,"model validation","Exclude?  ""We sought to develop and internally validate a model incorporating lung function using data from the UK Biobank"". If include has a cohort design: did not sample based on outcome and examined association between numerous exposures and lung cancer measured at follow up.","RR"
"Mulle2017tudy2467","Lung Cancer Risk Prediction Model Incorporating Lung Function: Development and Validation in the UK Biobank Prospective Cohort Study","mg","Yes","Not present","cohort",NA,NA,"During accumulated follow-up of 1,469,518 person-years, there were 738 lung cancer diagnoses.",NA
"Navra2017orts.012","Intelligence and neuroticism in relation to depression and psychological distress: Evidence from two large population cohorts","mg","Yes","Yes","cross-sectional","The cross-sectional associations between neuroticism, general intelligence (g), MDD, self-reported depression, and psychological distress were examined in two large population based cohorts; GS:SFHS and UK Biobank. ",NA,NA,NA
"Navra2017orts.012","Intelligence and neuroticism in relation to depression and psychological distress: Evidence from two large population cohorts","kd","Yes","Yes","cross-sectional","""The cross-sectional associations between neuroticism, general intelligence (g), MDD, self-reported depression, and psychological distress were examined in ... UK Biobank.""",NA,NA,NA
"Nevad2016bank2177","Commonly prescribed drugs associate with cognitive function: a cross-sectional study in UK Biobank ","kd","Yes","Yes","cross-sectional","""Owing to the cross-sectional design, it is difficult to make causal inferences between medication and cognitive function.""",NA,NA,NA
"Nevad2016bank2177","Commonly prescribed drugs associate with cognitive function: a cross-sectional study in UK Biobank","mg","Yes","Yes","cross-sectional","Design Population-based cross-sectional cohort study.",NA,NA,"says cross-sectional cohort but can't see any evidence of analysis including time. Title also says a cross-sectional study "
"Nicho2014bank50-4","Chronic multisite pain in major depression and bipolar disorder: cross-sectional study of 149,611 participants in UK Biobank","kd","Yes","Yes","cross-sectional","""We conducted a cross-sectional study of 149,611 UK Biobank participants.""",NA,NA,NA
"Nicho2014bank50-4","Chronic multisite pain in major depression and bipolar disorder: cross-sectional study of 149,611 participants in UK Biobank","mg","Yes","Yes","cross-sectional","We conducted a cross-sectional study of 149,611 UK Biobank participants. ",NA,NA,NA
"Nicho2015bank43-5","Ethnic differences in the association between depression and chronic pain: cross sectional results from UK Biobank","kd","Yes","Not present","cross-sectional","""Cross-sectional study of UK Biobank participants """,NA,NA,NA
"Nicho2015bank43-5","Ethnic differences in the association between depression and chronic pain: cross sectional results from UK Biobank","mg","Yes","Not present","cross-sectional","Cross-sectional study of UK Biobank participants with complete data on chronic pain and probable lifetime history of depression, who reported their ethnic group as White, Asian/Asian British or Black/Black British.",NA,NA,NA
"Ntuk2014ants2966","Ethnic-specific obesity cutoffs for diabetes risk: cross-sectional study of 490,288 UK biobank participants","mg","Yes","Yes","cross-sectional","Ethnic-Specific Obesity Cutoffs for Diabetes Risk: Cross-sectional Study of 490,288 UK Biobank Participants",NA,NA,NA
"Ntuk2017tudy3323","Association between grip strength and diabetes prevalence in black, South-Asian, and white European ethnic groups: a cross-sectional analysis of 418 656 participants in the UK Biobank study","kd","Yes","Yes","cross-sectional","""s This cross-sectional study used baseline data from the UK Biobank study on 418 656 white European, black and South-Asian participants, aged 40–69 years, who had complete data on diabetes status and hand-grip strength. Associations between hand-grip strength and diabetes were assessed using logistic regression and were adjusted for potential confounding factors""",NA,NA,NA
"Ntuk2017tudy3323","Association between grip strength and diabetes prevalence in black, South-Asian, and white European ethnic groups: a cross-sectional analysis of 418 656 participants in the UK Biobank study","mg","Yes","Yes","cross-sectional","This cross-sectional study used baseline data from the UK Biobank study on 418 656 white European, black and South-Asian participants, aged 40–69 years, who had complete data on diabetes status and hand-grip strength.",NA,NA,NA
"O'Sul2018tudy2915","Annual Ambient UVB at Wavelengths that Induce Vitamin D Synthesis is Associated with Reduced Esophageal and Gastric Cancer Risk: A Nested Case–Control Study","kd","Yes","Yes","case-control","""The UK Biobank cohort was used for this nested case–control study (N=3732).""",NA,NA,NA
"O'Sul2018tudy2915","Annual Ambient UVB at Wavelengths that Induce Vitamin D Synthesis is Associated with Reduced Esophageal and Gastric Cancer Risk: A Nested Case-Control Study","mg","Yes","Yes","case-control","The UK Biobank cohort was used for this nested case–control study (N = 3732).",NA,NA,NA
"Olivo2019tudy.014","Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study","mg","Yes","Not present","cohort,cross-sectional","Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study",NA,NA,NA
"Olivo2019tudy.014","Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study","kd","Yes","Not present","cross-sectional,other","""we examined cross-sectional associations of neuroticism and cognitive function with overweight and obesity in ... the UK Biobank cohort""","UNCERTAIN","Examines if neuroticisms predicts BMI at follow up = is this case-control or cohort since they have 1 outcome and 1 exposure?","RR"
"Orteg2017bank97-5","A Prospective Investigation of Body Size, Body Fat Composition and Colorectal Cancer Risk in the UK Biobank","mg","Yes","Yes","cohort","A Prospective Investigation of Body Size, Body Fat Composition and Colorectal Cancer Risk in the UK Biobank",NA,NA,NA
"Orteg2017bank97-5","A Prospective Investigation of Body Size, Body Fat Composition and Colorectal Cancer Risk in the UK Biobank","kd","Yes","Not present","cohort",NA,NA,"Did not sample based on outcome and found In this prospective analysis of UK Biobank participants, overall and abdominal adiposity body size and composition measurements were positively related"" risk of developing colorectal cancer at follow up",NA
"Pacco2018bank26-8","Prior fragility fracture and risk of incident ischaemic cardiovascular events: results from UK Biobank","mg","Yes","Yes","cohort","All study subjects were followed up until any ischaemic cardiovascular event, death or until 29th February 2016, yielding a mean follow-up time of 7 years and a maximum time of 10 years.",NA,NA,"Again one supporting doc may be unavailable"
"Pacco2018bank26-8","Prior fragility fracture and risk of incident ischaemic cardiovascular events: results from UK Biobank","kd","Yes","Yes","cohort",NA,NA,"Found prior fragility fracture was associated with ischaemic cardiovascular events measured at follow up in men",NA
"Pan2019tudy.008","Association between musculoskeletal pain at multiple sites and objectively measured physical activity and work capacity: Results from UK Biobank study","mg","Yes","Not present","cross-sectional","To describe the cross-sectional association between musculoskeletal pain at multiple sites and physical work capacity (PWC) and objectively measured physical activity (PA).",NA,NA,NA
"Pan2019tudy.008","Association between musculoskeletal pain at multiple sites and objectively measured physical activity and work capacity: Results from UK Biobank study","kd","Yes","Not present","cross-sectional","""Objectives: To describe the cross-sectional association""",NA,NA,NA
"Pante2018lity2699","Using alternatives to the car and risk of all-cause, cardiovascular and cancer mortality ","kd","Yes","Yes","cohort",NA,NA,"""we...investigate prospective associations between more active patterns of travel relative to exclusive car use and cardiovascular disease (CVD), cancer and all-cause mortality"". Outcomes measured at follow up. Did not sample based on outcomes. ",NA
"Pante2018lity2699","Using alternatives to the car and risk of all-cause, cardiovascular and cancer mortality","mg","Yes","Yes","cohort","Methods We conducted a prospective study using data from 3<U+2009>58<U+2009>799 participants, aged 37–73 years, from UK Biobank.",NA,NA,NA
"Papag2019omen2359","Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women","mg","Yes","Present but not accessible",NA,NA,NA,NA,NA
"Papag2019omen2359","Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women","mg","Yes","Yes","cohort","Over a median follow-up of 6.75 (5th to 95th percentile interval, 1.53 to 8.37) years, 394 newly diagnosed cases of osteoporosis occurred, with 40 (10.2%) cases being associated with a pathological fracture.",NA,NA,"Already filled out a questionnaire for this so sorry if that messes things up. Didn't realise it stops me if I say the supporting information is not available. One file is available and another isn't."
"Papag2019omen2359","Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women","kd","Yes","Yes","case-control",NA,NA,"Examines associations of multiple measures of muscle mass in women with & without osteoporosis over time",NA
"Patte2016bank97-5","Smoking, Screen-Based Sedentary Behavior, and Diet Associated with Habitual Sleep Duration and Chronotype: Data from the UK Biobank","mg","Yes","Yes","cross-sectional","Regression models were used to examine sleep duration and chronotype as the predictors and cardiovascular risk factors as outcomes of interest in a cross-sectional sample of 439,933 adults enrolled in the UK Biobank project.",NA,NA,NA
"Patte2016bank97-5","Smoking, Screen-Based Sedentary Behavior, and Diet Associated with Habitual Sleep Duration and Chronotype: Data from the UK Biobank","kd","Yes","Yes","cross-sectional","""Cross-sectional data from 501,766 participants were obtained""",NA,NA,NA
"Perez2017tudy.312","Prospective investigation of risk factors for prostate cancer in the UK Biobank cohort study","mg","Yes","Yes","cohort","Prospective investigation of risk factors for prostate cancer in the UK Biobank cohort study",NA,NA,NA
"Perez2017tudy.312","Prospective investigation of risk factors for prostate cancer in the UK Biobank cohort study","kd","Yes","Yes","cohort",NA,NA,"""We studied 219<U+2009>335 men from the UK Biobank study who were free from cancer at baseline."" and calculated association of risk of developing cancer during follow up with numerous exposures",NA
"Peter2014tudy5663","Do smoking habits differ between women and men in contemporary Western populations? Evidence from half a million people in the UK Biobank study ","kd","Yes","Yes","cross-sectional","""Design Cross-sectional population-based study.""",NA,NA,NA
"Peter2014tudy5663","Do smoking habits differ between women and men in contemporary Western populations? Evidence from half a million people in the UK Biobank study","mg","Yes","Yes","cross-sectional","Design Cross-sectional population-based study.",NA,NA,NA
"Peter2016bank.254","Women's reproductive health factors and body adiposity: findings from the UK Biobank","mg","Yes","Yes","cross-sectional","A cross-sectional analysis of 502<U+2009>664 individuals from the UK Biobank was conducted.",NA,NA,NA
"Peter2016bank.254","Women’s reproductive health factors and body adiposity: findings from the UK Biobank","kd","Yes","Yes","cross-sectional","""A cross-sectional analysis of 502 664 individuals from the UK Biobank""",NA,NA,NA
"Peter2016bank0007","Sex differences in body anthropometry and composition in individuals with and without diabetes in the UK Biobank ","kd","Yes","Yes","cross-sectional","""A cross-sectional study of 480 813 participants from the UK Biobank without history of CVD """,NA,NA,NA
"Peter2016bank0007","Sex differences in body anthropometry and composition in individuals with and without diabetes in the UK Biobank","mg","Yes","Yes","cross-sectional","A cross-sectional study of 480 813 participants from the UK Biobank without history of CVD was conducted to assess whether the difference in body size in people with and without diabetes was greater in women than in men.",NA,NA,NA
"Peter2018bank8507","Sex Differences in the Association Between Measures of General and Central Adiposity and the Risk of Myocardial Infarction: Results From the UK Biobank","kd","Yes","Yes","cohort",NA,NA,"""This large prospective study among 480 000 women and men demonstrates that higher levels of measures of central and general adiposity are each associated with an increased risk of MI in later life"". Did not sample based on outcome. Used Cox proportional models.",NA
"Peter2018bank8507","Sex Differences in the Association Between Measures of General and Central Adiposity and the Risk of Myocardial Infarction: Results From the UK Biobank","mg","Yes","Yes","cohort",NA,NA,"This large prospective study among 480 000 women and men demonstrates that higher levels of measures of central and general adiposity are each associated with an increased risk of MI in later life.",NA
"Peter2018ject7.12","Neuroticism and suicide in a general population cohort: results from the UK Biobank Project","kd","Yes","Not present","cohort",NA,NA,"""Aims \n To examine whether neuroticism is associated with suicide deaths after adjusting for known risks"". Suicide measured at follow up. Did not sample based on outcome. ",NA
"Peter2018ject7.12","Neuroticism and suicide in a general population cohort: results from the UK Biobank Project","mg","Yes","Not present","cohort",NA,NA,"UK Biobank participants (n = 389 365) were assessed for neuroticism as well as social, demographic and health-related variables at study entry and followed for up to 10 years. Suicide risk was modelled using Cox regression stratified by gender.",NA
"Pierz2016tion0341","Tinnitus and Sleep Difficulties After Cochlear Implantation","mg","Yes","Yes","cross-sectional","Objectives: To estimate and compare the prevalence of and associations between tinnitus and sleep difficulties in a sample of UK adult cochlear implant users and those identified as potential candidates for cochlear implantation.",NA,NA,NA
"Pierz2016tion0341","Tinnitus and Sleep Difficulties After Cochlear Implantation","kd","Yes","Yes","cross-sectional,cross-sectional","DESCRIPTIVE ""The aims of the present study were therefore to (i) estimate the prevalence of sleep difficulties among adult CI users and those who may be candidates for implantation"" ",NA,"""The aims of the present study were therefore to ... (ii) examine the associations between sleep difficulties, tinnitus characteristics, and tinnitus-related emotional distress"". All measures were taken at the same time",NA
"Pilli2018ears3504","Red cell distribution width and common disease onsets in 240,477 healthy volunteers followed for up to 9 years","kd","Yes","Yes","cohort",NA,NA,"""We undertook a prospective analysis of RDW% using 240,477 healthy UK Biobank study volunteers aged 40–70 years at baseline, with outcomes ascertained during follow-up (=9 years)"" Did not sample based on outcome",NA
"Pilli2018ears3504","Red cell distribution width and common disease onsets in 240,477 healthy volunteers followed for up to 9 years","mg","Yes","Yes","cohort",NA,NA,"Red cell distribution width and common disease onsets in 240,477 healthy volunteers followed for up to 9 years",NA
"Piuma2018bankx186","The relationship between alcohol use and long-term cognitive decline in middle and late life: a longitudinal analysis using UK Biobank","mg","Yes","Not present","cohort","The relationship between alcohol use and long-term cognitive decline in middle and late life: a longitudinal analysis using UK Biobank",NA,NA,NA
"Piuma2018bankx186","The relationship between alcohol use and long-term cognitive decline in middle and late life: a longitudinal analysis using UK Biobank ","kd","Yes","Yes","cohort",NA,NA,"""In 13 342 weekly drinkers drawn from UK Biobank, 5-year change in mean RT and IIV in RT were found to have curvilinear associations with alcohol consumption."" Did not sample based on outcome.",NA
"Pyrko2018ords1603","Quantitative characterization of biological age and frailty based on locomotor activity records","kd","Yes","Yes","cohort",NA,NA,"""We performed a systematic evaluation of the relationships between locomotor activity and signatures of frailty, morbidity, and mortality risks using ...NHANES and UK BioBank"". Risk model fitted to cohorts separately. Did not sample based on outcome. Mortality measured at follow up",NA
"Pyrko2018ords1603","Quantitative characterization of biological age and frailty based on locomotor activity records","mg","Yes","Not present","cohort",NA,NA,"We confirmed the association of “biological age” PC1 with mortality risks using the independent UKB dataset, which encompasses another 93597 individuals aged 43-78 years (mean of 62.4±7.8 yr) with 285 recorded deaths during a 3 year follow-up.",NA
"Ronnb2014urce0326","The effect of functional hearing loss and age on long- and short-term visuospatial memory: evidence from the UK biobank resource","kd","Yes","Not present","cross-sectional",NA,NA,""" Using the UK Biobank data, the aim of this study was to investigate the effects of functional hearing loss and hearing aid usage on visuospatial memory function"" All measures taken at same time and reflect current levels",NA
"Ronnb2014urce0326","The effect of functional hearing loss and age on long- and short-term visuospatial memory: evidence from the UK biobank resource","mg","Yes","Not present","cross-sectional",NA,NA,"The effect of functional hearing loss and age on long- and short-term visuospatial memory: evidence from the UK biobank resource ",NA
"Rudne2016urce0314","Better Visuospatial Working Memory in Adults Who Report Profound Deafness Compared to Those With Normal or Poor Hearing: Data From the UK Biobank Resource","mg","Yes","Not present","case-control",NA,NA,"The nonstandardized regression coefficients resulting from the analysis were used to estimate the effect of VSWM between hearing groups.",NA
"Rudne2016urce0314","Better Visuospatial Working Memory in Adults Who Report Profound Deafness Compared to Those With Normal or Poor Hearing: Data From the UK Biobank Resource","kd","Yes","Not present","cross-sectional",NA,NA,"Examined association between visuospatial working memory and hearing difficulty. Sampled based on outcome but outcome and exposure were measure at same time",NA
"Ruth2016tudy4710","Events in Early Life are Associated with Female Reproductive Ageing: A UK Biobank Study","mg","Yes","Yes","cross-sectional","We included cross-sectional data from 273,474 women from the UK Biobank, recruited in 2006–2010 from across the UK.",NA,NA,NA
"Ruth2016tudy4710","Events in Early Life are Associated with Female Reproductive Ageing: A UK Biobank Study","kd","Yes","Yes","cross-sectional","""We included cross-sectional data from 273,474 women from the UK Biobank""",NA,NA,NA
"Sarka2017ants19-5","Association between adiposity outcomes and residential density: a full-data, cross-sectional analysis of 419<U+2008>562 UK Biobank adult participants","mg","Yes","Yes","cross-sectional","For this full-data, cross-sectional analysis, we used UK Biobank data for adult men and women aged 37–73 years from 22 cities across the UK.",NA,NA,NA
"Sarka2017bank.016","Residential greenness and adiposity: Findings from the UK Biobank","mg","Yes","Yes","cross-sectional","This was a population based cross-sectional study of 333,183 participants aged 38–73 years with individual-level data on residential greenness and built environment exposures.",NA,NA,NA
"Sarka2017bank.016","Residential greenness and adiposity: Findings from the UK Biobank","kd","Yes","Yes","cross-sectional",""" The cross sectional study employed N = 353,670 (70.4%) participants of the UK Biobank""",NA,NA,NA
"Sarka2018ants.009","Neighbourhood walkability and incidence of hypertension: Findings from the study of 429,334 UK Biobank participants","mg","Yes","Not present","cohort,cross-sectional",NA,NA,"There is no case-control design and they analysed with and without follow ups",NA
"Sarka2018ants08-0","Are exposures to ready-to-eat food environments associated with type 2 diabetes? A cross-sectional study of 347 551 UK Biobank adult participants","mg","Yes","Yes","cross-sectional","We conducted a cross-sectional study of adult male and female participants from the baseline phase of the UK Biobank cohort.",NA,NA,NA
"Sarka2018ants08-0","Are exposures to ready-to-eat food environments associated with type 2 diabetes? A cross-sectional study of 347<U+2008>551 UK Biobank adult participants","kd","Yes","Yes","cross-sectional","""In this cross-sectional observational study, we used data on male and female participants from the baseline phase of the UK Biobank cohort. """,NA,NA,NA
"Sarka2018ants51-2","Residential greenness and prevalence of major depressive disorders: a cross-sectional, observational, associational study of 94 879 adult UK Biobank participants","mg","Yes","Yes","cross-sectional","In this cross-sectional, observational, associational study, we used baseline data from the UK Biobank cohort of participants aged 37–73 years from across the UK.",NA,NA,NA
"Sarka2018ants51-2","Association between adiposity outcomes and residential density: a full-data, cross-sectional analysis of 419<U+2008>562 UK Biobank adult participants","kd","Yes","Yes","cross-sectional","""For this full-data, cross-sectional analysis, we used UK Biobank data""",NA,NA,NA
"Sarka2018ants51-2","Residential greenness and prevalence of major depressive disorders: a cross-sectional, observational, associational study of 94<U+2008>879 adult UK Biobank participants","kd","Yes","Yes","cross-sectional","""In this cross-sectional, observational, associational study, we used baseline data from the UK Biobank cohort""",NA,NA,NA
"Seeto2017nder6395","The Influence of Social Interaction and Physical Health on the Association Between Hearing and Depression With Age and Gender","kd","Yes","Not present","cross-sectional","""Using cross-sectional data from the UK Biobank .. this study""",NA,NA,NA
"Seeto2017nder6395","The Influence of Social Interaction and Physical Health on the Association Between Hearing and Depression With Age and Gender","mg","Yes","Not present","cross-sectional","Using cross-sectional data from the UK Biobank ",NA,NA,NA
"Shafi2018bank2527","Dietary intake in people consuming a low-carbohydrate diet in the UK Biobank","kd","Yes","Yes","cross-sectional","""The present study is a cross-sectional study comparing dietary intake in individuals consuming a LCHO ... with those consuming a normal carbohydrate diet """,NA,NA,NA
"Shafi2018bank2527","Dietary intake in people consuming a low-carbohydrate diet in the UK Biobank","mg","Yes","Yes","cross-sectional","In the present cross-sectional study, the dietary and nutrient intake collected via up to five consecutive 24-h dietary recalls and a food frequency questionnaire of 444 individuals (aged 46-79 years) consuming <26% of calories from carbohydrate (LCHO) was compared with that of 131 897 individuals consuming =45% calories from carbohydrate (NCHO) using the UK Biobank Dataset.",NA,NA,NA
"Shwei2015hort.157","Measures of socioeconomic status and self-reported glaucoma in the U.K. Biobank cohort","mg","Yes","Not present","cross-sectional",NA,NA,"The UK Biobank study is a voluntary multisite cross-sectional study of 502<U+2009>656 UK residents aged 40–69 years who were registered with the National Health Service living within 25 miles from any of the 22 study assessment centres.",NA
"Shwei2015hort.157","Measures of socioeconomic status and self-reported glaucoma in the UK Biobank cohort","kd","Yes","Not present","case-control",NA,NA,"Examined association of self-reported glaucoma diagnoses four years after UK biobank began with numerous exposures",NA
"Siebe2016ants0267","Characteristics of rheumatoid arthritis and its association with major comorbid conditions: cross-sectional study of 502 649 UK Biobank participants ","kd","Yes","Yes","cross-sectional","""We undertook a cross-sectional study using baseline data from the unique UK Biobank""",NA,NA,NA
"Siebe2016ants0267","Characteristics of rheumatoid arthritis and its association with major comorbid conditions: cross-sectional study of 502 649 UK Biobank participants","mg","Yes","Yes","cross-sectional","Methods We undertook a cross-sectional study using baseline data from the unique UK Biobank resource (n=502 649).",NA,NA,NA
"Smith2019bank.024","Characteristics of the environment and physical activity in midlife: Findings from UK Biobank","mg","Yes","Yes","cross-sectional","Cross-sectional data were used from the UK Biobank study, collected from 502,656 participants aged 37–73<U+202F>years at recruitment. ",NA,NA,NA
"Smith2019bank.024","Characteristics of the environment and physical activity in midlife: Findings from UK Biobank","kd","Yes","Yes","cross-sectional","""Cross-sectional data were used from the UK Biobank study""",NA,NA,NA
"Spenc2018ases1293","Medications that relax the lower oesophageal sphincter and risk of oesophageal cancer: An analysis of two independent population-based databases","kd","Yes","Yes","case-control",NA,NA,"compared exposures of people with and without oesophageal cancer",NA
"Steel2019ants.003","Associations of dietary protein intake with bone mineral density: An observational study in 70,215 UK Biobank participants","mg","Yes","Yes","cross-sectional","Because of the cross-sectional nature of this study we were unable to determine the temporal relationships between diet and BMD and, as with any observational study, association may not necessarily infer causation.",NA,NA,NA
"Steel2019ants.003","Associations of dietary protein intake with bone mineral density: An observational study in 70,215 UK Biobank participants","kd","Yes","Yes","cross-sectional","""the cross-sectional nature of this study""",NA,NA,NA
"Stile2017bankx080","A small amount of precisely measured high-intensity habitual physical activity predicts bone health in pre- and post-menopausal women in UK Biobank","mg","Yes","Yes","cross-sectional"," In a cross-sectional analysis, associations between categories of time (<1, 1–2 and =2 minutes) spent above the intensity thresholds and calcaneal quantitative ultrasound measures of bone health (bone mineral density T-score, BMDT-score; speed of sound, SOS; and broadband ultrasound attenuation, BUA) were examined.",NA,NA,NA
"Stile2017bankx080","A small amount of precisely measured high-intensity habitual physical activity predicts bone health in pre- and post-menopausal women in UK Biobank ","kd","Yes","Not present","cross-sectional"," ""In a cross-sectional analysis, associations between categories of time ... spent above the intensity thresholds and .... measures of bone health ... were examined"".",NA,NA,NA
"Strac2017dies5381","Ventilatory function as a predictor of mortality in lifelong non-smokers: evidence from large British cohort studies ","kd","Yes","Yes","cohort",NA,NA,"""In this report, we compare the relationship of lung function measures (FEV1 and FVC) with subsequent mortality in UK Biobank (UKB)"". Did not sample based on outcomes",NA
"Strac2017dies5381","Ventilatory function as a predictor of mortality in lifelong non-smokers: evidence from large British cohort studies","mg","Yes","Yes","cohort",NA,NA,"In UK Biobank, among 149 343 white never-smokers aged 40–69 years at entry, 2401 deaths occurred over a mean of 6.5-year follow-up. ",NA
"Tong2018banky042","Anthropometric and physiologic characteristics in white and British Indian vegetarians and nonvegetarians in the UK Biobank","mg","Yes","Yes","cross-sectional","We aimed to perform cross-sectional analyses of diet group with anthropometric and physiologic characteristics in a large cohort in the United Kingdom.",NA,NA,NA
"Tong2018banky042","Anthropometric and physiologic characteristics in white and British Indian vegetarians and nonvegetarians in the UK Biobank ","kd","Yes","Yes","cross-sectional","""We aimed to perform cross-sectional analyses of diet group with anthropometric and physiologic characteristics in a large cohort in the United Kingdom.""",NA,NA,NA
"Tran2018dies4796","Proton pump inhibitor and histamine-2 receptor antagonist use and risk of liver cancer in two population-based studies","kd","Yes","Not present","cohort","""We also conducted a prospective cohort study within the UK Biobank using self-reported medication use and cancer-registry recorded primary liver cancer""",NA,NA,"contains separate study in another cohort"
"Tran2018dies4796","Proton pump inhibitor and histamine-2 receptor antagonist use and risk of liver cancer in two population-based studies","mg","Yes","Not present","case-control","We conducted a nested case-control study within the Primary Care Clinical Informatics Unit (PCCIU) database in which up to five controls were matched to cases with primary liver cancer, recorded by General Practitioner",NA,NA,NA
"Travi2016diesw169","Night Shift Work and Breast Cancer Incidence: Three Prospective Studies and Meta-analysis of Published Studies","mg","Yes","Yes","cohort","Night Shift Work and Breast Cancer Incidence: Three Prospective Studies and Meta-analysis of Published Studies",NA,NA,NA
"Travi2016diesw169","Night Shift Work and Breast Cancer Incidence: Three Prospective Studies and Meta-analysis of Published Studies ","kd","Yes","Yes","cohort",NA,NA,"""UK Biobank participants answered questions on shift work and were followed for incident cancer"", ""Cox regression models were used to calculate breast cancer incidence rate ratios ... comparing... women reporting night shift work with those who had never worked night shifts""",NA
"Tyrre2013tudyt220","Parental diabetes and birthweight in 236 030 individuals in the UK biobank study","mg","Yes","Yes","cross-sectional",NA,NA,"association between change in birth weight and parental diabetes.",NA
"Tyrre2013tudyt220","Parental diabetes and birthweight in 236 030 individuals in the UK Biobank Study ","kd","Yes","Present but not accessible",NA,NA,NA,NA,NA
"Tyrre2014ease0041","Prevalence, associated factors, and comorbid conditions for Meniere's disease","mg","Yes","Not present","cross-sectional","The authors used cross-sectional data from the UK Biobank to compare 1376 self-reported Meniere's participants with over 500,000 without Meniere's.",NA,NA,NA
